complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
I want to formally report about the iMac lab. The college advertises this lab proudly but students have zero access. It's always locked. Hardware sitting there collecting dust while students use personal laptops for everything. Why was this set up if students can't use it? Let us use it during free periods at least. Give access to CS and IT students. Such expensive equipment going to waste is both frustrating and wasteful of college resources.,Technical Issues,High,More than a month,20+,synthetic,,,
dustbin full ho gaye hai,Cleanliness,Low,Today,5 to 20,synthetic,,,
Backlogs ke students ko extra support nahi milti. They have to manage same workload plus backlogs.,Academics,Low,More than a month,5 to 20,synthetic,,,
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors  these are basic things that should be maintained regularly. In one of our classrooms, two of the three ceiling fans don't work. In Mumbai heat, sitting in a hot classroom with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,More than a month,20+,synthetic,,,
bahar ka area safe nahi hai,Infrastructure,High,More than a month,20+,synthetic,,,
exam form submit nahi ho raha,Other,Medium,More than a month,2 to 5,synthetic,,,
mold on washroom walls,Cleanliness,High,From Last Month,5 to 20,synthetic,,,
LAN connections in lab M411 are loose - internet disconnects randomly during practicals.,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
Hostel corridor cleaning happens only on weekends. By Wednesday the corridor is uncomfortably dirty.,Cleanliness,Medium,More than a month,20+,synthetic,,,
"Yaar monday test bohot frustrating hai. Sunday ko rest nahi milta, sirf test ki prep karo. Kab self study karenge?",Academics,Medium,More than a month,20+,synthetic,,,
app constantly crash hoti hai,Technical Issues,High,From Last Month,Only me,synthetic,,,
kachra everywhere yaar,Cleanliness,Low,More than a month,5 to 20,synthetic,,,
no mental health support in college,Other,High,From Last Month,5 to 20,synthetic,,,
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,Low,More than a month,5 to 20,synthetic,,,
I want to report about the college's lack of communication infrastructure. Important notices posted on a physical board that most students never see. Emails sent from college accounts that go to spam. WhatsApp groups flooded with irrelevant messages so important ones get missed. Events and deadlines regularly missed by students not because they don't care but because they never received proper notification. Please set up a proper centralized communication system - a dedicated app or at minimum a structured email system with proper categories.,Other,High,From last week,Only me,synthetic,,,
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,High,More than a month,20+,synthetic,,,
UPI nahi chalta M-block canteen mein. 2026 mein cash carry karna? Really? Please install payment system.,Mess/Food,Medium,More than a month,2 to 5,synthetic,,,
Monday test,Academics,Medium,From Last Month,5 to 20,synthetic,,,
Professor publicly announces poor-scoring students' marks. This is humiliating and discourages hardworking students.,Ragging,High,More than a month,Only me,synthetic,,,
60 rupaye mein yeh?,Mess/Food,Low,From Last Month,2 to 5,synthetic,,,
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies  but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Academics,High,More than a month,20+,synthetic,,,
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda. At least twice a day hona chahiye.,Cleanliness,High,From Last Month,20+,synthetic,,,
Senior verbally abused juniors near library. Threatened them not to use certain seats 'reserved for seniors.' Not ok.,Ragging,High,From Last Month,5 to 20,synthetic,,,
"Emergency exit signs in C block are faded and barely visible. In case of fire, this could be life-threatening. Please repaint them.",Infrastructure,Medium,More than a month,20+,synthetic,,,
"OHU students ke liye meal ka cost high hai but quality itni low hai. Hum depend karte hai college food pe, koi option nahi.",Mess/Food,Low,More than a month,20+,synthetic,,,
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,Medium,More than a month,20+,synthetic,,,
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure - but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo - involve students bhi. Kuch karo please.",Cleanliness,High,More than a month,20+,synthetic,,,
"mock tests se skills develop nahi ho rahe, just marks",Academics,Low,From Last Month,20+,synthetic,,,
doubt solve nahi hote class mein,Academics,High,From last week,20+,synthetic,,,
"The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside  which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser  just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Infrastructure,High,More than a month,20+,synthetic,,,
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,High,More than a month,2 to 5,synthetic,,,
"During rains, water leaks into D block library area. Books and bags get wet. Building maintenance clearly not happening.",Infrastructure,Medium,Today,20+,synthetic,,,
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,High,From Last Month,Only me,synthetic,,,
Fee payment portal crashes near deadline. Then late fee charged even when fault was portal's. Unfair.,Technical Issues,High,Today,5 to 20,synthetic,,,
Some professors teach entirely in Marathi. Students from other states or non-Marathi backgrounds cannot follow anything. English ya Hindi mein padhaana chahiye.,Other,High,Today,20+,synthetic,,,
khana oily bahut hai,Mess/Food,High,From Last Month,20+,synthetic,,,
Computer lab booking is manual - go physically to check availability. Online system chahiye.,Technical Issues,Low,More than a month,2 to 5,synthetic,,,
"No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Other,High,More than a month,20+,synthetic,,,
"College mein koi proper mentorship program nahi hai. No alumni network, no industry connect, no career counseling. When placement season starts, students panic because they have no guidance. Some professors who teach placement related subjects don't even know what companies ask in interviews. Meanwhile fees increase every year. What are we paying for? Just a certificate? We deserve actual career support.",Academics,High,More than a month,20+,synthetic,,,
emergency exit sign faded hai,Infrastructure,High,More than a month,5 to 20,synthetic,,,
No dustbins inside lab rooms. Students walk to corridor to throw waste. Install dustbins inside please.,Cleanliness,High,More than a month,20+,synthetic,,,
Outside the college campus the road is very uneven and not safe. Students walking from the gate to bus stop are at risk especially after dark.,Infrastructure,High,More than a month,5 to 20,synthetic,,,
email ka reply nahi mil raha,Other,Medium,From last week,Only me,synthetic,,,
Staircase railing in B block is loose. It wobbles when you hold it. Safety hazard - koi gir sakta hai anytime.,Infrastructure,Medium,From Last Month,20+,synthetic,,,
Senior students spread rumors about juniors who report issues. Fear prevents genuine complaints. Strict confidentiality needed.,Ragging,High,From Last Month,5 to 20,synthetic,,,
The pressure of maintaining 75% attendance while also doing internships and projects is impossible to balance. College needs to modernize its policies.,Academics,High,More than a month,20+,synthetic,,,
